coq-aac-tactics	github.com/coq-community/aac-tactics
coq-descente-infinie	github.com/coq-contribs/descente-infinie
coq-dictionaries	github.com/coq-contribs/dictionaries
coq-dijkstra	github.com/fetburner/coq-dijkstra
coq-disel	github.com/DistributedComponents/disel
coq-disel-examples	github.com/DistributedComponents/disel
coq-distributed-reference-counting	github.com/coq-contribs/distributed-reference-counting
coq-domain-theory	github.com/coq-contribs/domain-theory
coq-dpdgraph	github.com/coq-community/coq-dpdgraph
coq-elpi	github.com/LPCIC/coq-elpi
coq-equations	github.com/mattam82/Coq-Equations
coq-ergo	github.com/coq-contribs/ergo
coq-error-handlers	github.com/clarus/coq-error-handlers
coq-euclidean-geometry	github.com/coq-contribs/euclidean-geometry
coq-euler-formula	github.com/coq-contribs/euler-formula
coq-exact-real-arithmetic	github.com/coq-contribs/exact-real-arithmetic
coq-exceptions	github.com/coq-contribs/exceptions
coq-ext-lib	github.com/coq-community/coq-ext-lib
coq-extensible-records	github.com/gmalecha/coq-extensible-records
coq-extructures	github.com/arthuraa/extructures
coq-fairisle	github.com/coq-contribs/fairisle
coq-fcsl-pcm	github.com/imdea-software/fcsl-pcm
coq-fermat4	github.com/coq-contribs/fermat4
coq-fiat-crypto	github.com/mit-plv/fiat-crypto
coq-file-sync	github.com/liyishuai/file-sync
coq-finger-tree	github.com/coq-contribs/finger-tree
coq-firing-squad	github.com/coq-contribs/firing-squad
coq-float	github.com/coq-contribs/float
coq-flocq	gitlab.inria.fr/flocq/flocq
coq-flocq-quickchick	github.com/digamma-ai/flocq-quickchick
coq-formalv-check_range	gitlab.com/formalv/formalv
coq-formalv-prim63_mathcomp	gitlab.com/formalv/formalv
coq-formalv-time	gitlab.com/formalv/formalv
coq-founify	github.com/coq-contribs/founify
coq-fourcolor	github.com/coq-community/fourcolor
coq-free-groups	github.com/coq-contribs/free-groups
coq-freespec-core	github.com/lthms/FreeSpec
coq-freespec-exec	github.com/lthms/FreeSpec
coq-freespec-ffi	github.com/lthms/FreeSpec
coq-fsets	github.com/coq-contribs/fsets
coq-fssec-model	github.com/coq-contribs/fssec-model
coq-function-ninjas	github.com/clarus/coq-function-ninjas
coq-functional-algebra	github.com/llee454/functional-algebra
coq-functions-in-zfc	github.com/coq-contribs/functions-in-zfc
coq-fundamental-arithmetics	github.com/coq-contribs/fundamental-arithmetics
coq-gaia	github.com/coq-community/gaia
coq-gaia-hydras	github.com/coq-community/hydra-battles
coq-gaia-numbers	github.com/coq-community/gaia
coq-gaia-ordinals	github.com/coq-community/gaia
coq-gaia-schutte	github.com/coq-community/gaia
coq-gaia-stern	github.com/coq-community/gaia
coq-gaia-theory-of-sets	github.com/coq-community/gaia
coq-games	github.com/gstew5/games
coq-gappa	gitlab.inria.fr/gappa/coq
coq-gc	github.com/coq-contribs/gc
coq-generic-environments	github.com/coq-community/generic-environments
coq-geocoq	github.com/GeoCoq/GeoCoq
coq-geocoq-axioms	github.com/GeoCoq/GeoCoq
coq-geocoq-coinc	github.com/GeoCoq/GeoCoq
coq-geocoq-elements	github.com/GeoCoq/GeoCoq
coq-geocoq-main	github.com/GeoCoq/GeoCoq
coq-geocoq-pof	github.com/GeoCoq/GeoCoq
coq-geometric-algebra	github.com/thery/GeometricAlgebra
coq-giskard	github.com/runtimeverification/giskard-verification
coq-goedel	github.com/coq-community/goedel
coq-graph-basics	github.com/coq-contribs/graph-basics
coq-graph-theory	github.com/coq-community/graph-theory
coq-graph-theory-planar	github.com/coq-community/graph-theory
coq-graphs	github.com/coq-contribs/graphs
coq-ground	gitlab.com/boreal-ldd/ground
coq-group-theory	github.com/coq-contribs/group-theory
coq-groups	github.com/coq-contribs/groups
coq-hammer	github.com/lukaszcz/coqhammer
coq-hammer-tactics	github.com/lukaszcz/coqhammer
coq-hanoi	github.com/thery/hanoi
coq-hardware	github.com/coq-contribs/hardware
coq-haskell	github.com/jwiegley/coq-haskell
coq-hedges	github.com/coq-contribs/hedges
coq-hierarchy-builder	github.com/math-comp/hierarchy-builder
coq-hierarchy-builder-shim	github.com/math-comp/hierarchy-builder
coq-high-school-geometry	github.com/coq-community/HighSchoolGeometry
coq-higman-cf	github.com/coq-contribs/higman-cf
coq-higman-nw	github.com/coq-contribs/higman-nw
coq-higman-s	github.com/coq-contribs/higman-s
coq-historical-examples	github.com/coq-contribs/historical-examples
coq-hoare-tut	github.com/coq-community/hoare-tut
coq-hott	github.com/HoTT/HoTT
coq-htt	github.com/imdea-software/htt
coq-http	github.com/liyishuai/coq-http
coq-huffman	github.com/coq-community/huffman
coq-hydra-battles	github.com/coq-community/hydra-battles
coq-icharate	github.com/coq-contribs/icharate
coq-idt	github.com/ccyip/coq-idt
coq-idxassoc	github.com/coq-contribs/idxassoc
coq-ieee754	github.com/coq-contribs/ieee754
coq-improper-integrals	github.com/ybertot/improper_integrals
coq-inconsequential_modus_ponens	github.com/ebveeti/inconsequential_modus_ponens
coq-infotheo	github.com/affeldt-aist/infotheo
coq-int-map	github.com/coq-contribs/int-map
coq-interval	gitlab.inria.fr/coqinterval/interval
coq-intuitionistic-nuprl	github.com/coq-contribs/intuitionistic-nuprl
coq-io	github.com/clarus/io
coq-io-evaluate	github.com/clarus/io-evaluate
coq-io-exception	github.com/clarus/io-exception
coq-io-hello-world	github.com/clarus/coq-hello-world
coq-io-list	github.com/clarus/io-list
coq-io-system	github.com/clarus/io-system
coq-io-system-ocaml	github.com/clarus/io-system-ocaml
coq-ipc	github.com/coq-contribs/ipc
coq-iris	gitlab.mpi-sws.org/iris/iris
coq-iris-heap-lang	gitlab.mpi-sws.org/iris/iris
coq-iris-string-ident	gitlab.mpi-sws.org/iris/string-ident
coq-itauto	gitlab.inria.fr/fbesson/itauto
coq-iterable	github.com/clarus/coq-iterable
coq-itree	github.com/DeepSpec/InteractionTrees
coq-itree-extra	github.com/DeepSpec/InteractionTrees
coq-itree-io	github.com/Lysxia/coq-itree-io
coq-izf	github.com/coq-contribs/izf
coq-jmlcoq	github.com/coq-community/jmlcoq
coq-jordan-curve-theorem	github.com/coq-contribs/jordan-curve-theorem
coq-jprover	github.com/coq-contribs/jprover
coq-jsast	github.com/querycert/jsast/tree/JsAst
coq-json	github.com/liyishuai/coq-json
coq-kami	github.com/mit-plv/kami
coq-karatsuba	github.com/coq-contribs/karatsuba
coq-katamaran	github.com/katamaran-project/katamaran
coq-kildall	github.com/coq-contribs/kildall
coq-kruskal-trees	github.com:DmxLarchey/Kruskal-Trees/
coq-label	github.com/pedagand/coq-label
coq-lambda	github.com/coq-contribs/lambda
coq-lambek	github.com/coq-contribs/lambek
coq-lazy-pcf	github.com/coq-contribs/lazy-pcf
coq-lc	github.com/coq-contribs/lc
coq-legacy-ring	github.com/coq-contribs/legacy-ring
coq-lemma-overloading	github.com/coq-community/lemma-overloading
coq-lens	github.com/bedrocksystems/coq-lens
coq-lesniewski-mereology	github.com/coq-contribs/lesniewski-mereology
coq-libhyps	github.com/Matafou/LibHyps
coq-library-complexity	github.com/uds-psl/coq-library-complexity/
coq-library-undecidability	github.com/uds-psl/coq-library-undecidability/
coq-libvalidsdp	github.com/validsdp/validsdp
coq-lin-alg	github.com/coq-contribs/lin-alg
coq-linearscan	github.com/jwiegley/linearscan
coq-list-plus	github.com/clarus/coq-list-plus
coq-list-string	github.com/clarus/coq-list-string
coq-ltac-iter	github.com/gmalecha/coq-ltac-iter
coq-ltac2	github.com/coq/ltac2
coq-ltl	github.com/coq-contribs/ltl
coq-maple-mode	github.com/coq-contribs/maple-mode
coq-markov	github.com/coq-contribs/markov
coq-math-classes	github.com/coq-community/math-classes
coq-mathcomp-abel	github.com/math-comp/abel
coq-mathcomp-algebra	github.com/math-comp/math-comp
coq-mathcomp-algebra-tactics	github.com/math-comp/algebra-tactics
coq-mathcomp-analysis	github.com/math-comp/analysis
coq-mathcomp-apery	github.com/coq-community/apery
coq-mathcomp-bigenough	github.com/math-comp/bigenough
coq-mathcomp-character	github.com/math-comp/math-comp
coq-mathcomp-classical	github.com/math-comp/analysis
coq-mathcomp-dioid	github.com/math-comp/dioid
coq-mathcomp-field	github.com/math-comp/math-comp
coq-mathcomp-fingroup	github.com/math-comp/math-comp
coq-mathcomp-finmap	github.com/math-comp/finmap
coq-mathcomp-multinomials	github.com/math-comp/multinomials
coq-mathcomp-odd-order	github.com/math-comp/odd-order
coq-mathcomp-real-closed	github.com/math-comp/real-closed
coq-mathcomp-solvable	github.com/math-comp/math-comp
coq-mathcomp-ssreflect	github.com/math-comp/math-comp
coq-mathcomp-tarjan	github.com/math-comp/tarjan
coq-mathcomp-word	github.com/jasmin-lang/coqword
coq-mathcomp-zify	github.com/math-comp/mczify
coq-maths	github.com/coq-contribs/maths
coq-matrices	github.com/coq-contribs/matrices
coq-matrix	github.com/zhengpushi/CoqMatrix
coq-menhirlib	gitlab.inria.fr/fpottier/menhir
coq-metacoq	github.com/MetaCoq/metacoq
coq-metacoq-checker	github.com/MetaCoq/metacoq
coq-metacoq-common	github.com/MetaCoq/metacoq
coq-metacoq-erasure	github.com/MetaCoq/metacoq
coq-metacoq-erasure-plugin	github.com/MetaCoq/metacoq
coq-metacoq-pcuic	github.com/MetaCoq/metacoq
coq-metacoq-quotation	github.com/MetaCoq/metacoq
coq-metacoq-safechecker	github.com/MetaCoq/metacoq
coq-metacoq-safechecker-plugin	github.com/MetaCoq/metacoq
coq-metacoq-template	github.com/MetaCoq/metacoq
coq-metacoq-template-pcuic	github.com/MetaCoq/metacoq
coq-metacoq-translations	github.com/MetaCoq/metacoq
coq-metacoq-utils	github.com/MetaCoq/metacoq
coq-mi-cho-coq	gitlab.com/nomadic-labs/mi-cho-coq/
coq-min-imports	github.com/vzaliva/coq-min-imports
coq-mini-compiler	github.com/coq-contribs/mini-compiler
coq-minic	github.com/coq-contribs/minic
coq-miniml	github.com/coq-contribs/miniml
coq-mirror-core	github.com/gmalecha/mirror-core
coq-mmaps	github.com/coq-community/coq-mmaps
coq-mod-red	github.com/coq-contribs/mod-red
coq-moment	github.com/clarus/coq-moment
coq-monae	github.com/affeldt-aist/monae
coq-msets-extra	github.com/thtuerk/MSetsExtra
coq-mtac	github.com/beta-ziliani/mtac-plugin
coq-mtac2	github.com/Mtac2/Mtac2
coq-multiplier	github.com/coq-contribs/multiplier
coq-mutual-exclusion	github.com/coq-contribs/mutual-exclusion
coq-nfix	github.com/coq-contribs/nfix
coq-num-analysis	lipn.univ-paris13.fr/coq-num-analysis/
coq-of-ocaml	github.com/clarus/coq-of-ocaml
coq-ollibs	github.com/olaure01/ollibs
coq-opam-website	github.com/clarus/coq-opam-website
coq-operads	github.com/twosixlabs/coq-operads
coq-orb-stab	github.com/coq-contribs/orb-stab
coq-ordinal	github.com/minkiminki/Ordinal
coq-ott	github.com/ott-lang/ott
coq-otway-rees	github.com/coq-contribs/otway-rees
coq-paco	github.com/snu-sf/paco
coq-paradoxes	github.com/coq-contribs/paradoxes
coq-param-pi	github.com/coq-contribs/param-pi
coq-paramcoq	github.com/coq-community/paramcoq
coq-parsec	github.com/liyishuai/coq-parsec
coq-pautomata	github.com/coq-contribs/pautomata
coq-persistent-union-find	github.com/coq-contribs/persistent-union-find
coq-pi-agm	github.com/ybertot/pi-agm
coq-pi-calc	github.com/coq-contribs/pi-calc
coq-pocklington	github.com/coq-community/pocklington
coq-poltac	github.com/thery/PolTac
coq-ppsimpl	gitlab.inria.fr/fbesson/ppsimpl
coq-presburger	github.com/coq-contribs/presburger
coq-prfx	github.com/coq-contribs/prfx
coq-printf	github.com/gmalecha/coq-printf
coq-procrastination	github.com/Armael/coq-procrastination
coq-projective-geometry	github.com/coq-contribs/projective-geometry
coq-propcalc	github.com/coq-contribs/propcalc
coq-prosa	gitlab.mpi-sws.org/RT-PROOFS/rt-proofs
coq-pts	github.com/coq-contribs/pts
coq-ptsatr	github.com/coq-contribs/ptsatr
coq-ptsf	github.com/coq-contribs/ptsf
coq-qarith	github.com/coq-contribs/qarith
coq-qarith-stern-brocot	github.com/coq-community/qarith-stern-brocot
coq-qcert	github.com/querycert/qcert
coq-quantumlib	github.com/inQWIRE/QuantumLib
coq-quickchick	github.com/QuickChick/QuickChick
coq-quicksort-complexity	github.com/coq-contribs/quicksort-complexity
coq-railroad-crossing	github.com/coq-contribs/railroad-crossing
coq-ramsey	github.com/coq-contribs/ramsey
coq-random	github.com/coq-contribs/random
coq-rational	github.com/coq-contribs/rational
coq-record-update	github.com/tchajed/coq-record-update
coq-recursive-definition	github.com/coq-contribs/recursive-definition
coq-reduction-effects	github.com/coq-community/reduction-effects
coq-reflexive-first-order	github.com/coq-contribs/reflexive-first-order
coq-regexp	github.com/coq-contribs/regexp
coq-regexp-brzozowski	github.com/coq-community/regexp-Brzozowski
coq-reglang	github.com/coq-community/reglang
coq-relation-algebra	github.com/damien-pous/relation-algebra
coq-relation-extraction	github.com/coq-contribs/relation-extraction
coq-rem	github.com/coq-contribs/rem
coq-rewriter	github.com/mit-plv/rewriter
coq-riscv	github.com/mit-plv/riscv-coq
coq-robot	github.com/affeldt-aist/robot
coq-rsa	github.com/coq-contribs/rsa
coq-ruler-compass-geometry	github.com/coq-contribs/ruler-compass-geometry
coq-rupicola	github.com/mit-plv/rupicola
coq-scev	github.com/bollu/SCEV-coq
coq-schroeder	github.com/coq-contribs/schroeder
coq-search-trees	github.com/coq-contribs/search-trees
coq-semantics	github.com/coq-community/semantics
coq-shuffle	github.com/coq-contribs/shuffle
coq-simple-io	github.com/Lysxia/coq-simple-io
coq-smc	github.com/coq-contribs/smc
coq-smlms	gitlab.com/trustworthy-refactoring/coq-smlms
coq-smpl	github.com/uds-psl/smpl
coq-smtcoq	github.com/smtcoq/smtcoq
coq-sniper	github.com/smtcoq/sniper
coq-square-matrices	github.com/coq-contribs/square-matrices
coq-squiggle-eq	github.com/aa755/SquiggleEq
coq-stalmarck	github.com/coq-community/stalmarck
coq-stalmarck-tactic	github.com/coq-community/stalmarck
coq-stdpp	gitlab.mpi-sws.org/iris/stdpp
coq-streams	github.com/coq-contribs/streams
coq-string	github.com/coq-contribs/string
coq-subst	github.com/coq-contribs/subst
coq-sudoku	github.com/coq-community/sudoku
coq-sum-of-two-square	github.com/coq-contribs/sum-of-two-square
coq-switch	git@github.com/vzaliva/coq-switch
coq-tactician	github.com/coq-tactician/coq-tactician
coq-tactician-dummy	github.com/coq-tactician/coq-tactician-dummy
coq-tactician-stdlib	github.com/coq-tactician/coq-tactician-stdlib
coq-tait	github.com/coq-contribs/tait
coq-tarski-geometry	github.com/coq-contribs/tarski-geometry
coq-template-coq	github.com/Template-Coq/template-coq
coq-three-gap	github.com/coq-contribs/three-gap
coq-tlc	github.com/charguer/tlc
coq-topology	github.com/coq-community/topology
coq-tortoise-hare-algorithm	github.com/coq-contribs/tortoise-hare-algorithm
coq-trakt	github.com/ecranceMERCE/trakt
coq-traversable-fincontainer	github.com/coq-contribs/traversable-fincontainer
coq-tree-automata	github.com/coq-contribs/tree-automata
coq-tree-calculus	github.com/barry-jay-personal/tree-calculus
coq-tree-diameter	github.com/coq-contribs/tree-diameter
coq-type-infer	github.com/fetburner/type-infer
coq-typing-flags	github.com/SimonBoulier/TypingFlags
coq-unicoq	github.com/unicoq/unicoq
coq-unimath	github.com/UniMath/UniMath
coq-unimath-category-theory	github.com/UniMath/UniMath
coq-unimath-dedekind	github.com/UniMath/UniMath
coq-unimath-foundations	github.com/UniMath/UniMath
coq-unimath-ktheory	github.com/UniMath/UniMath
coq-unimath-substitution-systems	github.com/UniMath/UniMath
coq-unimath-tactics	github.com/UniMath/UniMath
coq-validsdp	github.com/validsdp/validsdp
coq-vcfloat	github.com/VeriNum/vcfloat
coq-vlsm	github.com/runtimeverification/vlsm
coq-void	github.com/arthuraa/coq-void
coq-vst	github.com/PrincetonUniversity/VST
coq-vst-32	github.com/PrincetonUniversity/VST
coq-vst-64	github.com/PrincetonUniversity/VST
coq-vst-iris	github.com/PrincetonUniversity/VST
coq-vst-lib	github.com/PrincetonUniversity/VST
coq-vst-zlist	github.com/PrincetonUniversity/VST
coq-waterproof	github.com/impermeable/coq-waterproof
coq-weak-up-to	github.com/coq-contribs/weak-up-to
coq-yalla	github.com/olaure01/yalla
coq-zchinese	github.com/coq-contribs/zchinese
coq-zf	github.com/coq-contribs/zf
coq-zfc	github.com/coq-contribs/zfc
coq-zorns-lemma	github.com/coq-community/topology
coq-zsearch-trees	github.com/coq-contribs/zsearch-trees
